ID;Sire / DateIn;Dam / DateInEst;Sex / InType;ReproStat/  DateOut;Selected /  DateOutEst;Living /  OutType;BirthLoc;BProgram;BCountry;DOB;DOBest;DOD;DODest;Necr1;Necr2;Necr3;Location;LocalID;Social;Program;Country;Name;Transponder;Tag;Tattoo;Color;LitSize;No_Litters;Lit_List;UDFs;   
41;1;20;Unknown;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811029; ;19811029; ;Other;;;RIO PRIM;368;;LatinAm;Brazil;;;;;;3;0;;                                                                                   ;
MOVE: 41;19811029; ;Birth  ;19811029; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
42;12;14;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811225; ;19820206; ;Other;;;RIO PRIM;374;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 42;19811225; ;Birth  ;19820206; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
43;12;14;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19811225; ;19820210; ;Other;;;RIO PRIM;375;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 43;19811225; ;Birth  ;19820210; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
44;3;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19820925; ;19980622; ;Other;;;RIO PRIM;402;;LatinAm;Brazil;;;;41;;1;6;2 2 2 1 2 1;                                                                         ;
MOVE: 44;19820925; ;Birth  ;19980622; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
45;16;18;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19821009; ;19980317; ;Other;;;SAO PAULO;19818;;LatinAm;Brazil;;;;30;;2;4;2 1 1 1;                                                                          ;
MOVE: 45;19821009; ;Birth  ;19980317; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
46;16;18;Unknown;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19821009; ;19821009; ;Other;;;RIO PRIM;412;;LatinAm;Brazil;;;;;;2;0;;                                                                                   ;
MOVE: 46;19821009; ;Birth  ;19821009; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19821014; ;19920115; ;Other;;;RIO PRIM;410;;LatinAm;Brazil;;;;31;;2;0;;                                                                                     ;
MOVE: 47;19821014; ;Birth  ;19920115; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
48;1;20;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19821014; ;19891222; ;Other;;;RIO PRIM;411;;LatinAm;Brazil;;;;32;;2;0;;                                                                                   ;
MOVE: 48;19821014; ;Birth  ;19891222; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
49;13;19;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830329; ;19830402; ;Other;;;RIO PRIM;445;;LatinAm;Brazil;;;;;;1;0;;                                                                                    ;
MOVE: 49;19830329; ;Birth  ;19830402; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
50;13;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830815; ;19830817; ;Other;;;RIO PRIM;471;;LatinAm;Brazil;;;;;;1;0;;                                                                                      ;
MOVE: 50;19830815; ;Birth  ;19830817; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830923; ;19830927; ;Other;;;RIO PRIM;504;;LatinAm;Brazil;;;;;;3;0;;                                                                                       ;
MOVE: 51;19830923; ;Birth  ;19830927; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;20;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830923; ;19830930; ;Other;;;RIO PRIM;505;;LatinAm;Brazil;;;;;;3;0;;                                                                                     ;
MOVE: 52;19830923; ;Birth  ;19830930; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830923; ;19831004; ;Other;;;RIO PRIM;506;;LatinAm;Brazil;;;;;;3;0;;                                                                                       ;
MOVE: 53;19830923; ;Birth  ;19831004; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
54;31;25;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830925; ;19830927; ;Other;;;RIO PRIM;507;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 54;19830925; ;Birth  ;19830927; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
55;31;25;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19830925; ;19830927; ;Other;;;RIO PRIM;508;;LatinAm;Brazil;;;;;;2;0;;                                                                                    ;
MOVE: 55;19830925; ;Birth  ;19830927; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
56;32;35;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19831014; ;19831015; ;Other;;;RIO PRIM;512;;LatinAm;Brazil;;;;;;3;0;;                                                                                    ;
MOVE: 56;19831014; ;Birth  ;19831015; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
57;32;35;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19831014; ;19911216; ;Other;;;RIO PRIM;513;;LatinAm;Brazil;;;;33;;3;8;1 1 2 3 1 2 2 2;                                                                   ;
MOVE: 57;19831014; ;Birth  ;19911216; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
58;32;35;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19831014; ;19940606; ;Other;;;RIO PRIM;514;;LatinAm;Brazil;;;;34;;3;4;3 1 1 2;                                                                             ;
MOVE: 58;19831014; ;Birth  ;19940606; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
59;3;6;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19831118; ;19891212; ;Other;;;RIO PRIM;524;;LatinAm;Brazil;;;;35;;2;6;1 1 2 3 1 2;                                                                           ;
MOVE: 59;19831118; ;Birth  ;19891212; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
60;3;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19831118; ;19851113; ;Other;;;RIO PRIM;525;;LatinAm;Brazil;;;;;;2;1;3;                                                                                     ;
MOVE: 60;19831118; ;Birth  ;19851113; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
61;31;25;Unknown;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840204; ;19840204; ;Other;;;RIO PRIM;538;;LatinAm;Brazil;;;;;;3;0;;                                                                                   ;
MOVE: 61;19840204; ;Birth  ;19840204; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
62;31;25;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840204; ;19840205; ;Other;;;RIO PRIM;539;;LatinAm;Brazil;;;;;;3;0;;                                                                                    ;
MOVE: 62;19840204; ;Birth  ;19840205; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
63;31;25;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840204; ;19940209; ;Other;;;SAO PAULO;21436;;LatinAm;Brazil;;;;36;;3;1;2;                                                                              ;
MOVE: 63;19840204; ;Birth  ;19940209; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
64;38;19;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840215; ;19840218; ;Other;;;RIO PRIM;543;;LatinAm;Brazil;;;;;;2;0;;                                                                                    ;
MOVE: 64;19840215; ;Birth  ;19840218; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
65;38;19;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840215; ;19840217; ;Other;;;RIO PRIM;544;;LatinAm;Brazil;;;;;;2;0;;                                                                                    ;
MOVE: 65;19840215; ;Birth  ;19840217; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;20;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840229; ;19850314; ;Other;;;RIO PRIM;547;;LatinAm;Brazil;;;;;;2;0;;                                                                                       ;
MOVE: 66;19840229; ;Birth  ;19850314; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
67;1;20;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19840229; ;19901010; ;Other;;;RIO PRIM;548;;LatinAm;Brazil;;;;37;;2;0;;                                                                                   ;
MOVE: 67;19840229; ;Birth  ;19901010; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
68;38;19;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19841127; ;19841201; ;Other;;;RIO PRIM;609;;LatinAm;Brazil;;;;;;1;0;;                                                                                    ;
MOVE: 68;19841127; ;Birth  ;19841201; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
69;32;44;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19841212; ;19911025; ;Other;;;RIO PRIM;616;;LatinAm;Brazil;;;;38;;2;4;1 2 2 2;                                                                             ;
MOVE: 69;19841212; ;Birth  ;19911025; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
70;32;44;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19841212; ;19961202; ;Other;;;SAO PAULO;21439;;LatinAm;Brazil;;;;39;;2;0;;                                                                               ;
MOVE: 70;19841212; ;Birth  ;19961202; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
71;32;44;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851004; ;20020205; ;Other;;;RIO PRIM;665;;LatinAm;Brazil;;;;40;;2;6;2 2 2 1 2 2;                                                                         ;
MOVE: 71;19851004; ;Birth  ;20020205; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
72;32;44;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851004; ;19920209; ;Other;;;RIO PRIM;666;;LatinAm;Brazil;;;;29;;2;5;1 1 2 3 3;                                                                         ;
MOVE: 72;19851004; ;Birth  ;19920209; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
73;WILD;WILD;Male;Fertile;True;False;M DIABO;LatinAm;Brazil;19830101;Y;20031023; ;Environ/Behav;;;RIO PRIM;686;RIO PRIM 26P;LatinAm;Brazil;;;;42;;0;14;2 2 2 2 2 2 2 2 2 2 2 2 1 2;                                    ;
MOVE: 73;19851107; ;Capture;20031023; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
74;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19830101;Y;19930414; ;Other;;;RIO PRIM;687;;LatinAm;Brazil;;;;43;;0;13;2 2 2 2 2 2 2 2 2 2 2 2 1;                                                        ;
MOVE: 74;19851107; ;Capture;19930414; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
75;WILD;WILD;Male;Fertile;True;False;M DIABO;LatinAm;Brazil;19851107;U;20010812; ;Other;;;SAO PAULO;19817;;LatinAm;Brazil;;;;44;;0;7;3 2 1 2 1 1 1;                                                                    ;
MOVE: 75;19851107; ;Capture;20010812; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
76;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19851107;U;19931117; ;Other;;;RIO PRIM;689;;LatinAm;Brazil;689;;;45;;0;6;1 2 2 2 2 2;                                                                    ;
MOVE: 76;19851107; ;Capture;19931117; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
77;73;74;Male;Fertile;True;False;M GOBI;EastAsi;Mongolia;19850707;Y;19951224; ;Other;;;RIO PRIM;690;;LatinAm;Brazil;;;;46;;2;5;2 2 1 2 1;                                                                              ;
MOVE: 77;19851107; ;Capture;19951224; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
78;73;74;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19850707;Y;19980703; ;Other;;;RIO PRIM;691;;LatinAm;Brazil;691;;;47;;2;0;;                                                                                   ;
MOVE: 78;19851107; ;Capture;19980703; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
79;1;19;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851110; ;19851112; ;Other;;;RIO PRIM;685;;LatinAm;Brazil;;;;;;1;0;;                                                                                       ;
MOVE: 79;19851110; ;Birth  ;19851112; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
80;58;60;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851113; ;19851113; ;Other;;;RIO PRIM;692;;LatinAm;Brazil;;;;;;3;0;;                                                                                      ;
MOVE: 80;19851113; ;Birth  ;19851113; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
81;58;60;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851113; ;19851113; ;Other;;;RIO PRIM;693;;LatinAm;Brazil;;;;;;3;0;;                                                                                    ;
MOVE: 81;19851113; ;Birth  ;19851113; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
82;58;60;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19851113; ;19851113; ;Other;;;RIO PRIM;694;;LatinAm;Brazil;;;;;;3;0;;                                                                                    ;
MOVE: 82;19851113; ;Birth  ;19851113; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
83;59;57;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19860127; ;20010816; ;Other;General;Nutrition;SAO PAULO;21438;;LatinAm;Brazil;;;;48;;1;0;;                                                                 ;
MOVE: 83;19860127; ;Birth  ;20010816; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
84;73;74;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19860917; ;19990615; ;Other;;;JERSEY;M1598;;Europe;Channl Is;Claudio;00-01-BA-8F-50;;49;;2;9;2 2 1 1 2 2 2 2 2;                                            ;
MOVE: 84;19860917; ;Birth  ;19990615; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
85;73;74;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19860917; ;19990920; ;Other;;;CENTRALPK;956095;;NorthAm;U.S.A;;00-0124-AE87;;50;;2;2;2 1;                                                                ;
MOVE: 85;19860917; ;Birth  ;19990920; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
86;32;44;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19860918; ;19890626; ;Other;;;RIO PRIM;756;;LatinAm;Brazil;;;;51;;2;0;;                                                                                    ;
MOVE: 86;19860918; ;Birth  ;19890626; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
87;32;44;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19860918; ;19890526; ;Other;;;RIO PRIM;757;;LatinAm;Brazil;;;;52;;2;0;;                                                                                    ;
MOVE: 87;19860918; ;Birth  ;19890526; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
